Yara,,Num Of Confirmed Bugs with test cases:,0,Num of available crashes,0,Project Link:,https://github.com/VirusTotal/yara,Work on this has been temporary halted due to complex input test cases.,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Internal ID,Tool Name,CVE ID,Date of Fix,Earlies Unfixed Commit,Commit ID before fix,Commit ID of fix,Notes,Shall we include?,Bug Type,Bug Details,Crash Input,Crash Status,Useful Link
,yara,N/A,2015-02-02 21:49:21 +0100,TODO,925cc8b,88f2ed7,N/A,Potential,I Don't Know,,TODO,TODO,https://github.com/VirusTotal/yara/commit/88f2ed7
,yara,N/A,2015-01-31 17:09:11 +0100,TODO,6cd9fad,8ebfeee,N/A,Potential,I Don't Know,,TODO,TODO,https://github.com/VirusTotal/yara/commit/8ebfeee
,yara,N/A,2015-01-29 20:36:34 +0100,TODO,eccb434 81ec39e,d502157,N/A,Potential,I Don't Know,,TODO,TODO,https://github.com/VirusTotal/yara/commit/d502157
,yara,N/A,2015-01-08 15:07:38 +0100,TODO,334bd1a,111133d,N/A,Potential,I Don't Know,,TODO,TODO,https://github.com/VirusTotal/yara/commit/111133d
,yara,N/A,2015-01-07 17:04:04 +0100,TODO,6b6b771,b019227,N/A,Potential,I Don't Know,,TODO,TODO,https://github.com/VirusTotal/yara/commit/b019227
,yara,N/A,2015-01-07 11:27:44 +0100,TODO,da309b7,2705515,N/A,Potential,I Don't Know,,TODO,TODO,https://github.com/VirusTotal/yara/commit/2705515
,yara,N/A,2015-01-05 15:26:05 +0100,TODO,962d5df,9d1c14a,N/A,Potential,I Don't Know,,TODO,TODO,https://github.com/VirusTotal/yara/commit/9d1c14a
,yara,N/A,2014-12-31 13:29:18 +0100,TODO,45352ea,2fcfa86,N/A,Potential,I Don't Know,,TODO,TODO,https://github.com/VirusTotal/yara/commit/2fcfa86
,yara,N/A,2014-12-31 12:00:39 +0100,TODO,9784167,d9f7e2c,N/A,Potential,I Don't Know,,TODO,TODO,https://github.com/VirusTotal/yara/commit/d9f7e2c
,yara,N/A,2014-12-30 10:26:52 +0100,TODO,6bb131d d5b071c,d84e0f9,N/A,Potential,I Don't Know,,TODO,TODO,https://github.com/VirusTotal/yara/commit/d84e0f9
,yara,N/A,2014-12-29 23:54:11 +0100,TODO,133df5c,6bb131d,N/A,Potential,I Don't Know,,TODO,TODO,https://github.com/VirusTotal/yara/commit/6bb131d
,yara,N/A,2014-12-29 13:20:21 +0100,TODO,3bc5efd,82a4212,N/A,Potential,I Don't Know,,TODO,TODO,https://github.com/VirusTotal/yara/commit/82a4212
,yara,N/A,2014-12-24 13:03:04 +0100,TODO,161e324,3bc5efd,N/A,Potential,I Don't Know,,TODO,TODO,https://github.com/VirusTotal/yara/commit/3bc5efd
,yara,N/A,2014-12-19 11:51:44 +0100,TODO,6280cd4,a7b6dfe,N/A,Potential,I Don't Know,,TODO,TODO,https://github.com/VirusTotal/yara/commit/a7b6dfe
,yara,N/A,2014-12-19 11:47:32 +0100,TODO,f0ea82a,6280cd4,N/A,Potential,I Don't Know,,TODO,TODO,https://github.com/VirusTotal/yara/commit/6280cd4
,yara,N/A,2014-12-04 12:04:07 +0100,TODO,a430718,0434bb9,N/A,Potential,I Don't Know,,TODO,TODO,https://github.com/VirusTotal/yara/commit/0434bb9
,yara,N/A,2014-12-02 09:56:45 +0100,TODO,279ae0b 2524d0c,9ae81c0,N/A,Potential,I Don't Know,,TODO,TODO,https://github.com/VirusTotal/yara/commit/9ae81c0
,yara,N/A,2014-12-01 20:49:52 +0100,TODO,d3a1fff,7297977,N/A,Potential,I Don't Know,,TODO,TODO,https://github.com/VirusTotal/yara/commit/7297977
,yara,N/A,2014-11-28 15:24:54 +0100,TODO,7cc63b1 eb3e20a,089eb65,N/A,Potential,I Don't Know,,TODO,TODO,https://github.com/VirusTotal/yara/commit/089eb65
,yara,N/A,2014-11-27 12:37:33 +0100,TODO,cce7c5d,7cc63b1,N/A,Potential,I Don't Know,,TODO,TODO,https://github.com/VirusTotal/yara/commit/7cc63b1
,yara,N/A,2014-11-22 23:44:55 +0100,TODO,116b5e1,08f9871,N/A,Potential,I Don't Know,,TODO,TODO,https://github.com/VirusTotal/yara/commit/08f9871
,yara,N/A,2014-11-21 14:32:10 +0100,TODO,8e55590,2aeb167,N/A,Potential,I Don't Know,,TODO,TODO,https://github.com/VirusTotal/yara/commit/2aeb167
,yara,N/A,2014-11-21 09:44:44 +0100,TODO,aff604d,8e55590,N/A,Potential,I Don't Know,,TODO,TODO,https://github.com/VirusTotal/yara/commit/8e55590
