libFLAC,,Num Of Confirmed Bugs with test cases:,5,Num of available crashes,9,,Project Link:,https://github.com/xiph/flac,,,,,
,,,,,,,,,,,,,
Invalid Access,5,,0,,,,,,,,,,
Failed Assertion,0,,0,,,,,,,,,,
Division By Zero,0,,0,,,,,,,,,,
Dangling Pointer Use,0,,,,,,,,,,,,
,,,,,,,,,,,,,
Internal ID,Tool Name,CVE ID,Date of Fix,Earlies Unfixed Commit,Commit ID / Version before fix,Commit ID / Version of fix,Notes,Shall we include?,Bug Type,Bug Details,Crash Input,Crash Status,Useful Link
65,FLAC,N/A,2015-02-18 09:49:08 +1100,d8d1717,ed22a42,c06a449,N/A,Yes,Null Dereference,"encode.c

#0 0x2afc02facb83 in __memmove_sse2_unaligned_erms (/lib64/libc.so.6+0x90b83)
    #1 0x2afc01ac90b6  (/lib64/libasan.so.3+0x5f0b6)
    #2 0x49c984 in FLAC__stream_encoder_process (/home/john/tests/flac/install/bin/flac+0x49c984)
    #3 0x416635 in flac_decoder_write_callback (/home/john/tests/flac/install/bin/flac+0x416635)
    #4 0x46b54b in read_frame_.part.8 (/home/john/tests/flac/install/bin/flac+0x46b54b)
    #5 0x47594f in FLAC__stream_decoder_process_single (/home/john/tests/flac/install/bin/flac+0x47594f)
    #6 0x420866 in flac__encode_file (/home/john/tests/flac/install/bin/flac+0x420866)
    #7 0x4045b2 in encode_file (/home/john/tests/flac/install/bin/flac+0x4045b2)
    #8 0x406f82 in main (/home/john/tests/flac/install/bin/flac+0x406f82)
    #9 0x2afc02f3c400 in __libc_start_main (/lib64/libc.so.6+0x20400)
    #10 0x407a49 in _start (/home/john/tests/flac/install/bin/flac+0x407a49)
",Yes,Success,"https://github.com/xiph/flac/commit/c06a449
https://sourceforge.net/p/flac/bugs/425/"
66,FLAC,N/A,2015-02-18 09:49:08 +1100,d8d1717,ed22a42,c06a449,N/A,Potential,Use-Before-Write,"encode.c

==22900==ERROR: AddressSanitizer: SEGV on unknown address 0x00047fff7ffc (pc 0x00000041a6a9 bp 0x7fff4f5e6a80 sp 0x7fff4f5e6010 T0)
    #0 0x41a6a8 in EncoderSession_init_encoder (/home/john/tests/flac/install/bin/flac+0x41a6a8)
    #1 0x420561 in flac__encode_file (/home/john/tests/flac/install/bin/flac+0x420561)
    #2 0x4045b2 in encode_file (/home/john/tests/flac/install/bin/flac+0x4045b2)
    #3 0x406f82 in main (/home/john/tests/flac/install/bin/flac+0x406f82)
    #4 0x2b438b7eb400 in __libc_start_main (/lib64/libc.so.6+0x20400)
    #5 0x407a49 in _start (/home/john/tests/flac/install/bin/flac+0x407a49)
",Yes,Success,"https://github.com/xiph/flac/commit/c06a449
https://sourceforge.net/p/flac/bugs/425/"
67,FLAC,N/A,2015-02-18 09:49:08 +1100,d8d1717,ed22a42,c06a449,N/A,Yes,Buffer Overflow,"encode.c

libflac_stack.wav: WARNING: skipping unknown chunk 'cue ' (use --keep-foreign-metadata to keep)
*** buffer overflow detected ***: ./install/bin/flac terminated
======= Backtrace: =========
/lib64/libc.so.6(+0x791fb)[0x2b10e98e11fb]
/lib64/libc.so.6(__fortify_fail+0x37)[0x2b10e9982187]
/lib64/libc.so.6(+0x118120)[0x2b10e9980120]
/lib64/libc.so.6(__fread_chk+0x14d)[0x2b10e998083d]
./install/bin/flac[0x4208f8]
./install/bin/flac[0x40468f]
./install/bin/flac[0x406f83]
/lib64/libc.so.6(__libc_start_main+0xf1)[0x2b10e9888401]
",Yes,Success,"https://github.com/xiph/flac/commit/c06a449
https://sourceforge.net/p/flac/bugs/425/"
68,FLAC,N/A,2015-08-09 14:32:11 +1000,,7083cf2,15a9062,N/A,No,Memory Leak,format.c,No,TODO,https://github.com/xiph/flac/commit/15a9062
69,FLAC,N/A,2015-08-22 19:25:39 +1000,,f7c52c8,684fb3d,N/A,Yes,Double Free,stream_decoder.c,No,TODO,https://github.com/xiph/flac/commit/684fb3d
70,FLAC,N/A,2015-08-22 20:28:47 +1000,,d9ae5e9,584a134,N/A,No,Memory Leak,,No,TODO,https://github.com/xiph/flac/commit/584a134
71,FLAC,N/A,2015-09-28 09:18:27 +1000,,5fab59f,d91eb4a,N/A,Yes,Buffer Overflow,,No,TODO,https://github.com/xiph/flac/commit/d91eb4a
72,FLAC,N/A,2015-11-25 05:42:43 +1100,,3fdb87b,eb2af52,N/A,Potential,I Don't Know,,No,TODO,https://github.com/xiph/flac/commit/eb2af52
73,FLAC,N/A,2016-01-09 10:38:48 +1100,,1a5ba62,27e00c8,N/A,Yes,Buffer Overflow,,No,TODO,"https://github.com/xiph/flac/commit/27e00c8
https://sourceforge.net/p/flac/bugs/284/"
74,FLAC,N/A,2016-01-09 10:59:46 +1100,,262505b,28817ba,N/A,Yes,Buffer Overflow,bitwriter.c,No,TODO,https://github.com/xiph/flac/commit/28817ba
75,FLAC,N/A,2016-07-10 08:19:26 +1000,,8279778,0a49fe7,N/A,Yes,Assertion Failure,stream_decoder.c,Yes,Failed,"https://github.com/xiph/flac/commit/0a49fe7
https://bugs.musicpd.org/view.php?id=4552"
76,FLAC,N/A,2016-07-10 11:25:39 +1000,,9949ce1,a70fcdd,N/A,Potential,Assertion Failure,metadata_object.c,No,TODO,https://github.com/xiph/flac/commit/a70fcdd
77,FLAC,N/A,2016-07-14 18:42:05 +1000,,f7491f9,a52177b,N/A,Yes,Null Dereference,stream_decoder.c,No,TODO,https://github.com/xiph/flac/commit/a52177b
78,FLAC,N/A,2016-07-14 18:42:05 +1000,,c12bfa0,f7491f9,N/A,No,Memory Leak,stream_decoder.c,No,TODO,https://github.com/xiph/flac/commit/f7491f9
